구분,1일,2일,3일,4일,5일,6일,7일,8일,9일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일
서울시 평균,28,21,14,17,38,42,31,23,28,46,60,31,31,34,25,22,21,26,41,42,37,28,15,52,20,24,30,39,29,20
강남구,26,20,13,18,36,39,30,23,29,44,61,30,31,34,27,22,20,25,43,40,37,33,17,57,19,23,28,39,31,19
강동구,24,15,5,11,33,42,30,22,28,50,67,33,30,30,23,21,19,26,39,38,34,27,12,60,18,21,23,36,23,15
강북구,21,18,14,13,31,36,29,23,25,42,59,26,24,29,23,18,17,22,33,35,33,30,14,51,17,19,27,34,28,18
강서구,33,22,15,17,42,45,30,24,29,47,58,29,31,34,24,22,21,24,43,46,37,25,16,46,19,22,33,36,27,23
관악구,33,24,17,20,45,47,33,29,30,49,62,32,36,37,28,27,25,28,48,44,39,30,17,52,21,28,35,47,32,24
광진구,27,21,12,17,37,43,32,25,29,47,61,34,34,37,28,24,22,28,42,43,38,34,17,56,21,26,30,37,31,20
구로구,33,24,19,20,49,52,38,22,29,53,60,33,37,36,25,23,24,29,52,50,42,24,12,46,21,27,40,47,29,17
금천구,30,19,14,17,35,37,30,23,24,44,55,27,29,32,23,21,19,22,38,37,30,21,14,40,17,22,27,39,25,20
노원구,25,21,13,17,36,42,34,24,29,46,62,30,28,34,27,21,20,26,38,40,37,31,17,59,21,23,27,40,33,22
도봉구,25,20,13,16,33,34,29,19,24,43,58,28,25,30,19,17,15,24,36,36,34,26,12,56,16,20,25,34,24,16
동대문구,27,22,15,18,38,43,31,25,30,49,64,33,33,36,27,22,22,27,41,43,38,33,17,57,20,25,31,39,31,21
동작구,30,22,16,20,39,41,31,25,28,47,61,30,32,35,24,23,21,24,42,39,35,28,15,52,21,26,27,41,30,20
마포구,28,23,15,19,40,44,31,23,28,45,57,33,31,34,26,22,23,25,42,46,38,28,16,45,21,24,34,40,30,22
서대문구,30,21,12,19,40,45,32,23,30,50,61,33,31,35,25,23,22,29,43,42,37,26,16,56,23,26,33,39,28,20
서초구,32,24,17,21,47,47,37,24,32,55,69,38,40,44,26,25,26,33,51,45,45,28,15,56,25,31,33,49,29,18
성동구,28,21,13,17,36,41,30,23,29,45,60,32,32,35,28,23,21,25,41,40,38,30,16,51,19,23,29,38,30,19
성북구,28,22,15,18,42,43,33,23,31,52,65,32,33,35,25,22,23,30,43,43,41,31,18,62,24,28,34,41,32,22
송파구,29,23,16,20,41,43,34,25,29,48,62,36,37,41,27,23,22,25,44,47,40,30,17,52,21,27,31,44,34,20
양천구,27,20,15,16,40,41,25,21,23,40,46,26,26,34,23,19,19,21,40,43,34,24,14,41,18,20,32,36,27,18
영등포구,25,20,15,17,37,42,28,20,26,42,51,28,29,32,25,21,21,23,41,40,33,26,15,40,17,21,30,36,28,19
용산구,31,25,15,20,41,45,32,25,32,48,64,34,36,38,29,25,23,28,48,45,41,33,18,57,21,27,31,42,32,21
은평구,31,22,12,18,41,46,33,22,29,50,65,31,31,35,25,23,22,29,43,46,39,25,16,56,22,25,39,40,28,20
종로구,27,19,13,16,37,41,29,23,29,47,60,29,30,34,25,20,20,26,38,39,34,27,13,51,19,24,27,37,28,18
중구,22,16,11,13,31,35,24,20,24,37,49,26,25,27,22,19,16,22,34,36,29,27,13,44,16,21,24,32,25,17
중랑구,22,17,12,16,31,39,29,22,26,42,56,30,28,32,26,21,18,24,34,39,35,33,16,52,17,21,25,34,27,20
